"New Customers","新客戶",module,Magento_Backend
Customers,客戶,module,Magento_Backend
Customer,客戶,module,Magento_Backend
Guest,來賓,module,Magento_Backend
Items,項目,module,Magento_Backend
Total,總數,module,Magento_Backend
"Lifetime Sales","終身銷售",module,Magento_Backend
"Average Order","平均訂單",module,Magento_Backend
Average,平均,module,Magento_Backend
Product,貨品,module,Magento_Backend
Price,售價,module,Magento_Backend
Quantity,數量,module,Magento_Backend
Views,Views,module,Magento_Backend
Revenue,收入,module,Magento_Backend
Tax,稅款,module,Magento_Backend
Shipping,送貨,module,Magento_Backend
"Images (.gif, .jpg, .png)","圖片 (.gif, .jpg, .png)",module,Magento_Backend
"Media (.avi, .flv, .swf)","媒體 (.avi, .flv, .swf)",module,Magento_Backend
"All Files","所有檔案",module,Magento_Backend
"Reset to Default","重置為默認",module,Magento_Backend
"All Store Views","All Store Views",module,Magento_Backend
"What is this?","What is this?",module,Magento_Backend
"Save Account","保存帳戶",module,Magento_Backend
"My Account","我的帳戶",module,Magento_Backend
"Account Information","帳戶資料",module,Magento_Backend
"User Name","用戶名稱",module,Magento_Backend
"First Name","名字",module,Magento_Backend
"Last Name","姓",module,Magento_Backend
Email,電郵,module,Magento_Backend
"User Email","用戶電郵",module,Magento_Backend
"New Password","新密碼",module,Magento_Backend
"Password Confirmation","確認密碼",module,Magento_Backend
"Interface Locale","Interface Locale",module,Magento_Backend
"Current User Identity Verification","Current User Identity Verification",module,Magento_Backend
"Your Password","你的密碼",module,Magento_Backend
"Save Cache Settings","Save Cache Settings",module,Magento_Backend
"Catalog Rewrites","Catalog Rewrites",module,Magento_Backend
Refresh,刷新,module,Magento_Backend
"Images Cache","Images Cache",module,Magento_Backend
Clear,清除,module,Magento_Backend
"Search Index","Search Index",module,Magento_Backend
Rebuild,重建,module,Magento_Backend
"Inventory Stock Status","庫存狀態",module,Magento_Backend
"Rebuild Catalog Index","Rebuild Catalog Index",module,Magento_Backend
"Rebuild Flat Catalog Category","Rebuild Flat Catalog Category",module,Magento_Backend
"Rebuild Flat Catalog Product","Rebuild Flat Catalog Product",module,Magento_Backend
"Cache Control","Cache Control",module,Magento_Backend
"All Cache","All Cache",module,Magento_Backend
"No change","沒有改變",module,Magento_Backend
Disable,關閉,module,Magento_Backend
Enable,啟用,module,Magento_Backend
"Add Design Change","Add Design Change",module,Magento_Backend
Back,返回,module,Magento_Backend
Delete,刪除,module,Magento_Backend
"Are you sure?","確定?",module,Magento_Backend
Save,保存,module,Magento_Backend
"Edit Design Change","Edit Design Change",module,Magento_Backend
"New Store Design Change","New Store Design Change",module,Magento_Backend
"General Settings","一般設置",module,Magento_Backend
Store,商店,module,Magento_Backend
"-- Please Select --","-- 請選擇 --",module,Magento_Backend
"Custom Design","Custom Design",module,Magento_Backend
"Date From","日期從",module,Magento_Backend
"Date To","日期至",module,Magento_Backend
"Design Change","Design Change",module,Magento_Backend
General,一般,module,Magento_Backend
Cancel,取消,module,Magento_Backend
"Delete %1 '%2'","刪除 %1 '%2'",module,Magento_Backend
"Delete %1","刪除 %1",module,Magento_Backend
"Block Information","Block Information",module,Magento_Backend
"Backup Options","Backup Options",module,Magento_Backend
"Create DB Backup","Create DB Backup",module,Magento_Backend
Yes,是,module,Magento_Backend
No,不是,module,Magento_Backend
"Delete Store","刪除商店",module,Magento_Backend
"Delete Web Site","刪除網站",module,Magento_Backend
"Save Web Site","保存網站",module,Magento_Backend
"Save Store","保存商店",module,Magento_Backend
"Save Store View","Save Store View",module,Magento_Backend
"Delete Store View","Delete Store View",module,Magento_Backend
"Edit Web Site","編輯網站",module,Magento_Backend
"New Web Site","新增網站",module,Magento_Backend
"Edit Store","編輯商店",module,Magento_Backend
"New Store","新增商店",module,Magento_Backend
"Edit Store View","Edit Store View",module,Magento_Backend
"New Store View","New Store View",module,Magento_Backend
"Store Information","商店資料",module,Magento_Backend
"Web Site","網站",module,Magento_Backend
Name,名稱,module,Magento_Backend
"Root Category","頂層類別",module,Magento_Backend
"Default Store View","Default Store View",module,Magento_Backend
"Store View Information","Store View Information",module,Magento_Backend
Code,編碼,module,Magento_Backend
Status,狀態,module,Magento_Backend
Disabled,已關閉,module,Magento_Backend
Enabled,已啟用,module,Magento_Backend
"Sort Order","排序",module,Magento_Backend
"Web Site Information","網站資料",module,Magento_Backend
"Default Store","黙認商店",module,Magento_Backend
"Set as Default","設定成黙認",module,Magento_Backend
Stores,商店,module,Magento_Backend
"Create Website","創建網站",module,Magento_Backend
"Create Store","創建商店",module,Magento_Backend
"Create Store View","創建商店視圖",module,Magento_Backend
Home,主頁,module,Magento_Backend
Reset,重置,module,Magento_Backend
"Are you sure you want to do this?","你確定你想這樣做?",module,Magento_Backend
"Add New Image","添加新圖像",module,Magento_Backend
"Export block for grid %1 is not defined","Export block for grid %1 is not defined",module,Magento_Backend
"Reset Filter","重設過濾器",module,Magento_Backend
Search,搜尋,module,Magento_Backend
Any,任何,module,Magento_Backend
"All Countries","所有國家",module,Magento_Backend
From,從,module,Magento_Backend
To,至,module,Magento_Backend
"Date selector","日期選擇器",module,Magento_Backend
"[ deleted ]","[ 已刪除 ]",module,Magento_Backend
"Select All","全選",module,Magento_Backend
" [deleted]"," [已刪除]",module,Magento_Backend
"We couldn't find any records.","我們找不到任何記錄.",module,Magento_Backend
"Add New","新加",module,Magento_Backend
"Invalid export type supplied for grid export block","Invalid export type supplied for grid export block",module,Magento_Backend
Export,匯出,module,Magento_Backend
"Please correct the column format and try again.","Please correct the column format and try again.",module,Magento_Backend
"Please select items.","Please select items.",module,Magento_Backend
Submit,提交,module,Magento_Backend
